budget,size_eval,hidden_size,epochs,learning_rate,total_time,absolute_error
90,10,10,300,0.01,0.2941133975982666,0.47839999999999705
90,10,10,300,0.01,0.38276124000549316,0.45339999999999847
90,10,10,300,0.01,0.2950923442840576,0.534799999999997
90,10,10,300,0.01,0.2945213317871094,0.4173999999999971
90,10,10,300,0.01,0.2906210422515869,0.37959999999999994
90,10,10,300,0.01,0.2929675579071045,0.4173999999999971
90,10,10,300,0.01,0.2939741611480713,0.4009999999999998
90,10,10,300,0.01,0.29367661476135254,0.34979999999999833
90,10,10,300,0.01,0.29337334632873535,0.45339999999999847
90,10,10,300,0.01,0.2938961982727051,0.45339999999999847
100,10,10,300,0.01,0.3265671730041504,0.0
100,10,10,300,0.01,0.3198273181915283,0.5923999999999978
100,10,10,300,0.01,0.32286739349365234,0.0
100,10,10,300,0.01,0.3209574222564697,0.4009999999999998
100,10,10,300,0.01,0.34317493438720703,0.0
100,10,10,300,0.01,0.3284153938293457,0.07379999999999853
100,10,10,300,0.01,0.32714414596557617,0.0
100,10,10,300,0.01,0.3240830898284912,0.5923999999999978
100,10,10,300,0.01,0.3267178535461426,1.1585999999999999
100,10,10,300,0.01,0.3265688419342041,0.45339999999999847
110,10,10,300,0.01,0.36331820487976074,0.4173999999999971
110,10,10,300,0.01,0.3593440055847168,0.0
110,10,10,300,0.01,0.3620591163635254,0.5923999999999978
110,10,10,300,0.01,0.35732603073120117,0.45339999999999847
110,10,10,300,0.01,0.3680868148803711,0.45339999999999847
110,10,10,300,0.01,0.36720705032348633,0.0
110,10,10,300,0.01,0.3855760097503662,0.534799999999997
110,10,10,300,0.01,0.6653463840484619,0.37959999999999994
110,10,10,300,0.01,0.5438134670257568,0.2851999999999997
110,10,10,300,0.01,0.3581111431121826,0.34979999999999833
120,10,10,300,0.01,0.3873465061187744,0.0
120,10,10,300,0.01,0.38923096656799316,0.07379999999999853
120,10,10,300,0.01,0.3892545700073242,0.07379999999999853
120,10,10,300,0.01,0.3910400867462158,0.07379999999999853
120,10,10,300,0.01,0.403766393661499,0.4173999999999971
120,10,10,300,0.01,0.4007859230041504,0.6865999999999985
120,10,10,300,0.01,0.3891105651855469,0.0
120,10,10,300,0.01,0.406604528427124,0.6865999999999985
120,10,10,300,0.01,0.38884639739990234,0.37959999999999994
120,10,10,300,0.01,0.39462971687316895,0.4173999999999971
130,10,10,300,0.01,0.4902472496032715,0.0
